Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Visitable;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Plan Sin Aval;Arrienda al toque;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;EORD1223-A;Sta. Elena 1278;Santiago;Espacio Oriente II Torre A;1;30;1D1B;;;No;306000.00;74000.00;6;6;50.00;1;1;0.5;No;3;3.00;0;0;69066;P;34.97;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/espacio-oriente-ii-torre-a/2932/1-dormitorio?unit_id=486224&codigo_referido=;1223-A;Re-acondicionamiento
Arriendo Normal;EORD212-A;Sta. Elena 1278;Santiago;Espacio Oriente II Torre A;1;30;1D1B;;;Si;296000.00;62000.00;6;6;50.00;1;1;0.5;No;3;3.00;0;0;69083;S;29.35;0.00;;0;OK;Departamento en reparación, fecha de entrega, 21-02-22025;2026-07-03;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/espacio-oriente-ii-torre-a/2932/1-dormitorio?unit_id=486241&codigo_referido=;212-A;Lista para arrendar
Arriendo Normal;EORD1007-A;Sta. Elena 1278;Santiago;Espacio Oriente II Torre A;1;30;1D1B;;;No;299000.00;61000.00;6;6;50.00;1;1;0.5;No;3;3.00;0;0;69089;N;28.56;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/espacio-oriente-ii-torre-a/2932/1-dormitorio?unit_id=486247&codigo_referido=;1007-A;Re-acondicionamiento
Arriendo Normal;EORD412-A;Sta. Elena 1278;Santiago;Espacio Oriente II Torre A;1;30;1D1B;;;Si;296000.00;62000.00;6;6;50.00;1;1;0.5;No;3;3.00;0;0;69107;S;29.35;0.00;;0;OK;;2026-07-27;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/espacio-oriente-ii-torre-a/2932/1-dormitorio?unit_id=486265&codigo_referido=;412-A;Lista para arrendar
Arriendo Normal;EORD1516-A;Sta. Elena 1278;Santiago;Espacio Oriente II Torre A;1;30;2D1B;;;Si;383000.00;88000.00;6;6;50.00;1;1;0.5;No;3;3.00;0;0;69163;S;41.71;1.42;;0;NOK;;2026-08-21;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/espacio-oriente-ii-torre-a/2932/2-dormitorios?unit_id=486321&codigo_referido=;1516-A;Lista para arrendar
Arriendo Normal;EORD1316-A;Sta. Elena 1278;Santiago;Espacio Oriente II Torre A;1;30;2D1B;;;No;383000.00;88000.00;6;6;50.00;1;1;0.5;No;3;3.00;0;0;69170;S;41.71;1.42;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/espacio-oriente-ii-torre-a/2932/2-dormitorios?unit_id=486328&codigo_referido=;1316-A;Re-acondicionamiento
Arriendo Normal;NO1D1714-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;1D1B;;;No;300000.00;62000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;70274;S;27.79;2.86;;0;NOK;;2025-12-31;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/1-dormitorio?unit_id=486402&codigo_referido=;1714-A;Re-acondicionamiento
Arriendo Especial;NO1D1019-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;Si;327000.00;74000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;70993;O;34.58;2.86;;0;NOK;;2026-04-29;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487121&codigo_referido=;1019-A;Lista para arrendar
Arriendo Normal;NO1D1719-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;328000.00;74000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71008;O;34.58;2.86;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487136&codigo_referido=;1719-A;Re-acondicionamiento
Arriendo Normal;NO1D1328-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;360000.00;87000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71017;N;40.52;2.86;;0;NOK;;;Caducado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487145&codigo_referido=;1328-A;Re-acondicionamiento
Arriendo Normal;NO1D1104-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;Si;324000.00;81000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71027;P;37.63;2.86;;0;NOK;;;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487155&codigo_referido=;1104-A;Lista para arrendar
Arriendo Normal;NO1D523-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;353000.00;85000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71041;P;39.69;2.86;;0;NOK;;2025-05-04;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487169&codigo_referido=;523-A;Re-acondicionamiento
Arriendo Normal;NO1D804-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;322000.00;81000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71061;P;37.63;2.86;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487189&codigo_referido=;804-A;Re-acondicionamiento
Arriendo Normal;NO1D1704-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;326000.00;81000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71078;P;37.63;2.86;;0;NOK;03-02-2025 por favor no tomar se utilizara para cambio MVG ;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487206&codigo_referido=;1704-A;Re-acondicionamiento
Arriendo Normal;NO1D1225-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;360000.00;86000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71087;N;40.09;2.86;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487215&codigo_referido=;1225-A;Re-acondicionamiento
Arriendo Normal;NO1D1125-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;360000.00;86000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71104;N;40.09;2.86;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487232&codigo_referido=;1125-A;Re-acondicionamiento
Arriendo Normal;NO1D1026-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;360000.00;88000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71111;N;41.02;2.86;;0;NOK;;;Caducado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487239&codigo_referido=;1026-A;Re-acondicionamiento
Arriendo Normal;NO1D1228-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;360000.00;87000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71115;N;40.52;2.86;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487243&codigo_referido=;1228-A;Re-acondicionamiento
Arriendo Normal;NO1D1326-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;360000.00;88000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71117;N;41.02;2.86;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487245&codigo_referido=;1326-A;Re-acondicionamiento
Arriendo Normal;NO1D325-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D1B;;;No;353000.00;87000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71122;N;40.48;2.86;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487250&codigo_referido=;325-A;Re-acondicionamiento
Arriendo Normal;NO1D307-A;Sta. Elena 1486;Santiago;Nuevo Oriente I;1;30;2D2B;;;No;422000.00;94000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71153;P;44.90;2.86;;0;NOK;Bloqueado ya que la unidad esta totalmente desvalijada, usada como deposito y la recuperación total de la unidad llevara tiempo;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-i/2935/2-dormitorios?unit_id=487281&codigo_referido=;307-A;Re-acondicionamiento
Arriendo Normal;NO2D312;Sta. Elena 1496;Santiago;Nuevo Oriente II;1;30;1D1B;;;Si;305000.00;58000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71215;S;26.56;0.00;;0;NOK;;2026-08-25;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-ii/2936/1-dormitorio?unit_id=487343&codigo_referido=;312;Lista para arrendar
Arriendo Normal;NO2D707-A;Sta. Elena 1496;Santiago;Nuevo Oriente II;1;30;2D2B;;;Si;423000.00;95000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71217;S;44.57;2.86;;0;NOK;;1996-02-01;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-ii/2936/2-dormitorios?unit_id=487345&codigo_referido=;707-A;Lista para arrendar
Arriendo Normal;NO2D304-A;Sta. Elena 1496;Santiago;Nuevo Oriente II;1;30;2D1B;;;Si;342000.00;76000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;71409;N;34.93;2.86;;0;NOK;;2026-07-13;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/nuevo-oriente-ii/2936/2-dormitorios?unit_id=487537&codigo_referido=;304-A;Lista para arrendar
Arriendo Normal;SRSD604;Av. Sta. Rosa 1185;Santiago;Edificio Santa Rosa;1;30;1D1B;;;Si;301000.00;67000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;66823;N;29.64;2.26;;0;NOK;;2026-08-26;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/edificio-santa-rosa/2937/1-dormitorio?unit_id=488664&codigo_referido=;604;Lista para arrendar
Arriendo Normal;SRSD805;Av. Sta. Rosa 1185;Santiago;Edificio Santa Rosa;1;30;1D1B;;;Si;294000.00;64000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;67123;N;28.46;2.36;;0;OK;;2026-08-17;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/edificio-santa-rosa/2937/1-dormitorio?unit_id=488978&codigo_referido=;805;Lista para arrendar
Arriendo Normal;SRSD215;Av. Sta. Rosa 1185;Santiago;Edificio Santa Rosa;1;30;2D1B;;;Si;363000.00;82000.00;12;12;50.00;1;1;0.5;No;3;3.00;0;0;67143;N;37.88;0.00;;0;OK;En obras;2026-07-01;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/santiago/edificio-santa-rosa/2937/2-dormitorios?unit_id=488998&codigo_referido=;215;Lista para arrendar
Arriendo Normal;MISD202;Av. Ejército Libertador 50;Santiago;Mirador Santiago;1;30;Estudio;;;Si;290000.00;62000.00;3;0;50.00;1;1;0;No;3;3.00;0;0;71882;P;20.00;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/mirador-santiago/2989/estudio?unit_id=492622&codigo_referido=;202;Lista para arrendar
Arriendo Normal;MISD408;Av. Ejército Libertador 50;Santiago;Mirador Santiago;1;30;Estudio;;;Si;300000.00;68000.00;3;0;50.00;1;1;0;No;3;3.00;0;0;71910;P;22.00;0.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/mirador-santiago/2989/estudio?unit_id=492650&codigo_referido=;408;Lista para arrendar
Arriendo Normal;MISD509;Av. Ejército Libertador 50;Santiago;Mirador Santiago;1;30;1D1B;;;Si;359000.00;74000.00;3;0;0.00;0;1;0;No;3;3.00;0;0;71923;P;29.00;1.00;;0;NOK;;;;Si;https://www.assetplan.cl/arriendo/departamento/santiago/mirador-santiago/2989/1-dormitorio?unit_id=492663&codigo_referido=;509;Lista para arrendar
